retweet,likes,reply,num,image,video,gif
0,2,0,3,1,0,0
0,3,1,2,0,0,0
1,7,2,3,0,0,0
0,3,0,1,0,0,0
0,1,0,1,0,0,0
0,1,0,1,0,0,0
0,0,0,1,1,0,0
2,28,3,4,1,1,0
0,1,0,1,0,0,0
9,72,0,3,1,0,0
5,13,1,5,3,0,0
5,17,2,2,0,0,0
3,23,0,7,0,0,0
0,4,0,2,1,0,0
0,0,2,1,0,0,0
1,9,1,3,0,0,0
0,2,0,1,0,0,0
1,23,1,4,0,0,0
1,24,2,9,0,0,0
3,17,3,9,2,0,0
34,229,30,19,2,0,0
25,177,51,15,6,0,0
13,28,11,21,1,0,0
13,99,27,7,0,0,0
1,17,2,2,1,0,0
0,5,2,5,2,0,0
5,68,12,8,3,0,0
2,17,1,6,2,0,0
0,13,5,4,0,0,0
52,708,26,4,1,0,0
0,0,0,1,0,0,0
0,13,0,3,1,0,0
0,4,0,4,1,0,0
0,0,0,1,0,0,0
0,3,4,5,2,0,0
0,6,0,2,2,0,0
0,0,1,1,1,0,0
8,40,10,5,1,0,0
0,5,3,3,0,0,0
0,22,2,7,1,0,0
8,18,3,12,4,0,0
10,134,23,20,6,0,0
114,1190,56,49,5,0,0
327,1804,265,158,36,1,0
203,1265,169,123,29,1,0
71,717,82,66,5,1,0
433,1732,35,50,11,0,0
108,434,57,52,8,0,0
29,320,50,29,8,0,0
137,565,35,32,9,1,0
11,63,15,16,3,1,0
11,96,12,17,5,0,0
9,41,10,12,1,0,0
2,27,1,8,2,0,0
1,16,5,6,3,0,0
10,74,5,5,0,0,0
2,62,16,5,2,0,0
5,49,10,8,5,0,0
1,2,0,2,0,0,0
1,9,3,2,0,0,0
0,4,0,4,0,0,0
1,40,6,7,2,0,0
2,11,8,4,1,0,0
27,64,12,15,2,0,0
3,7,5,7,3,0,0
9,216,25,11,5,0,0
7,60,11,7,2,0,0
4,33,16,7,2,0,0
43,129,13,6,3,1,0
5,21,6,10,2,0,0
7,66,3,9,1,0,0
0,8,3,6,1,0,0
11,41,10,6,1,0,0
1,7,2,8,0,0,0
0,6,3,6,0,0,0
7,114,5,5,1,0,0
1,21,7,8,1,0,0
1,9,1,4,0,0,0
2,17,4,5,2,0,0
0,2,1,2,0,0,0
29,225,21,3,0,0,0
0,5,1,1,0,0,0
0,4,1,1,0,0,0
0,1,1,3,2,0,0
0,0,0,2,0,0,0
0,17,3,4,1,0,0
1,8,1,1,1,0,0
8,13,6,7,2,0,0
4,34,5,6,1,0,0
8,24,5,11,2,0,0
5,46,56,13,2,0,0
6,108,11,9,1,0,0
6,14,4,8,0,0,0
1,14,15,9,1,0,0
48,439,22,4,0,1,0
2,33,9,7,4,0,0
2,62,1,3,0,0,0
4,29,5,3,0,0,0
4,35,7,5,0,0,0
52,222,9,2,1,0,0
0,0,1,3,0,0,0
44,236,19,5,2,0,0
0,1,0,1,1,0,0
2,8,4,3,1,0,0
20,71,16,11,4,0,0
0,13,1,5,1,0,0
16,184,35,39,12,0,0
187,804,91,54,12,0,0
37,174,43,37,5,0,0
56,431,62,62,11,1,0
147,908,81,80,12,0,0
888,3095,236,106,25,1,0
594,2845,296,223,47,1,0
948,3892,239,156,29,0,0
354,3163,289,189,55,1,0
249,1477,192,118,29,0,0
20,112,12,67,13,3,0
1325,5561,402,86,14,1,0
100,678,84,62,17,1,0
76,499,100,47,14,2,0
34,226,33,59,11,0,0
20,424,34,37,8,1,0
15,79,18,36,6,2,0
14,123,21,39,11,0,0
67,371,46,32,7,0,0
15,134,43,19,6,0,0
12,78,8,15,4,0,0
4,26,7,13,2,0,0
4,14,2,8,2,0,0
1,19,8,16,1,0,0
6,21,6,17,5,0,0
44,160,14,20,5,0,0
28,125,22,23,4,0,0
82,246,28,36,6,0,0
155,1782,104,48,7,0,0
69,265,52,86,13,1,0
553,2447,348,96,18,0,0
301,2149,155,70,15,1,0
572,5374,1098,94,13,2,0
826,5244,321,127,28,1,0
589,4868,462,141,18,3,0
391,2110,163,209,36,0,0
457,3710,528,389,72,5,0
2762,23389,1323,332,62,1,0
6154,19133,924,215,41,1,0
328,2252,304,180,40,1,0
8641,30303,1211,138,25,3,0
117,740,127,129,27,0,0
331,2438,188,120,21,1,0
222,1690,138,104,20,0,0
78,450,66,74,11,0,0
112,741,122,66,11,0,0
503,1603,138,71,16,0,0
73,261,30,74,20,1,0
520,2827,185,84,24,1,0
428,1891,190,154,37,3,0
5484,13085,2396,246,47,1,0
991,3314,591,226,36,2,0
450,2409,529,231,35,0,0
14314,24730,5216,494,176,3,0
1503,6134,366,628,232,5,0
1261,4998,477,501,134,5,0
1853,6213,1044,530,116,4,0
2276,8631,752,499,114,5,0
3016,10222,541,445,72,8,0
941,4786,373,393,110,2,0
1051,4573,344,304,79,4,0
711,3646,333,339,74,5,0
4177,17743,675,339,74,8,0
797,3292,325,444,99,6,0
524,3046,303,330,82,5,0
198,1138,106,270,69,9,0
498,1815,184,267,80,6,0
274,1537,158,224,58,3,0
473,3168,216,210,45,6,0
167,797,58,194,58,6,0
101,332,53,169,63,1,0
168,784,61,163,54,2,0
126,525,73,134,20,1,0
291,1328,164,163,35,1,0
1045,5714,354,267,74,3,0
1249,5257,688,310,60,3,0
3118,9769,1517,563,113,8,0
6587,19995,1246,781,135,7,0
1313,6678,742,693,108,11,0
5739,16786,1337,863,182,15,0
2299,10472,707,690,120,9,0
904,4140,362,579,116,12,0
2558,10396,629,553,107,8,0
1608,6840,656,508,117,10,0
2537,11541,1012,465,71,17,0
777,3686,305,359,65,12,0
1192,4758,525,312,53,8,0
578,2134,162,319,58,6,0
1255,6806,576,245,37,3,0
366,1326,233,219,43,6,0
1298,4576,193,199,36,3,0
135,592,89,160,32,3,0
164,653,46,145,25,2,0
181,799,78,103,19,3,0
139,607,61,103,23,3,0
745,1183,106,104,21,3,0
154,527,59,117,26,1,0
530,1981,283,125,29,5,0
502,1776,148,149,35,5,0
434,3612,417,188,41,4,0
599,2043,184,212,39,12,0
787,4638,342,380,67,4,0
635,3401,614,454,66,7,0
521,2132,257,349,65,10,0
923,6760,282,347,77,12,0
1001,6589,453,284,56,6,0
984,3552,324,296,53,3,0
918,2265,264,274,60,3,0
2402,9541,546,242,52,3,0
194,784,123,177,39,5,0
608,1835,199,165,41,8,0
348,1819,97,138,38,6,0
462,2083,63,99,19,4,0
662,1969,230,101,25,0,0
