Date,retweet,likes,reply,num,image,video,gif
2021-01-13 19:00:00,9,25,5,18,2,0,0
2021-01-13 20:00:00,1,3,0,11,6,0,0
2021-01-13 21:00:00,4,52,9,9,2,0,0
2021-01-13 22:00:00,0,6,3,8,1,0,0
2021-01-13 23:00:00,18,74,9,12,4,0,0
2021-01-14 00:00:00,7,39,1,9,0,0,0
2021-01-14 01:00:00,3,5,0,7,0,0,0
2021-01-14 02:00:00,0,5,1,3,0,0,0
2021-01-14 03:00:00,6,41,1,7,1,0,0
2021-01-14 04:00:00,9,100,11,4,0,0,0
2021-01-14 05:00:00,3,6,0,1,0,0,0
2021-01-14 06:00:00,0,10,2,4,2,0,0
2021-01-14 07:00:00,0,12,3,3,1,0,0
2021-01-14 08:00:00,1,1,1,4,0,0,0
2021-01-14 09:00:00,0,0,0,2,0,0,0
2021-01-14 10:00:00,1,3,1,4,1,0,0
2021-01-14 11:00:00,17,312,24,4,2,0,0
2021-01-14 12:00:00,0,0,0,3,2,0,0
2021-01-14 13:00:00,23,352,46,17,3,0,0
2021-01-14 14:00:00,2,12,1,12,3,0,0
2021-01-14 15:00:00,6,88,6,17,2,0,0
2021-01-14 16:00:00,7,51,8,19,3,0,0
2021-01-14 17:00:00,7,87,19,24,10,0,0
2021-01-14 18:00:00,2,10,0,10,1,0,0
2021-01-14 19:00:00,1,7,0,3,0,0,0
2021-01-14 20:00:00,16,210,13,10,0,0,0
2021-01-14 21:00:00,1,7,1,6,1,0,0
2021-01-14 22:00:00,4,33,9,8,3,0,0
2021-01-14 23:00:00,3,21,4,6,1,1,0
2021-01-15 00:00:00,5,25,4,12,3,0,0
2021-01-15 01:00:00,10,91,12,2,0,0,0
2021-01-15 02:00:00,8,78,20,2,0,0,0
2021-01-15 03:00:00,0,13,1,4,0,0,0
2021-01-15 04:00:00,0,4,2,4,1,0,0
2021-01-15 05:00:00,0,3,3,4,0,0,0
2021-01-15 08:00:00,0,0,0,2,0,0,0
2021-01-15 10:00:00,0,4,1,2,2,0,0
2021-01-15 11:00:00,85,349,35,5,1,0,0
2021-01-15 12:00:00,11,33,10,9,2,0,0
2021-01-15 13:00:00,5,5,2,3,0,0,0
2021-01-15 14:00:00,5,8,8,7,0,0,0
2021-01-15 15:00:00,1,32,3,4,0,0,0
2021-01-15 16:00:00,4,124,32,6,1,0,0
2021-01-15 17:00:00,0,9,1,5,0,0,0
2021-01-15 18:00:00,32,193,27,9,1,0,0
2021-01-15 19:00:00,0,1,0,5,0,0,0
2021-01-15 20:00:00,1,3,0,3,1,0,0
2021-01-15 21:00:00,3,8,2,13,1,0,0
2021-01-15 22:00:00,2,21,7,4,2,0,0
2021-01-15 23:00:00,0,0,1,2,0,0,0
2021-01-16 00:00:00,0,0,0,1,0,0,0
2021-01-16 01:00:00,1,1,0,4,1,0,0
2021-01-16 04:00:00,0,0,1,2,0,0,0
2021-01-16 05:00:00,0,6,0,1,0,0,0
2021-01-16 06:00:00,0,0,0,1,0,0,0
2021-01-16 08:00:00,0,0,0,1,0,1,0
2021-01-16 11:00:00,0,4,0,1,0,0,0
2021-01-16 13:00:00,0,0,0,1,1,0,0
2021-01-16 14:00:00,0,0,0,1,0,0,0
2021-01-16 15:00:00,1,4,0,3,0,0,0
2021-01-16 17:00:00,6,4,2,2,1,0,0
2021-01-16 18:00:00,0,0,0,1,0,0,0
2021-01-16 20:00:00,1,14,3,3,3,0,0
2021-01-16 21:00:00,0,2,0,1,0,0,0
2021-01-16 22:00:00,1,1,0,2,0,0,0
2021-01-17 01:00:00,1,1,2,1,0,0,0
2021-01-17 02:00:00,3,14,3,1,1,0,0
2021-01-17 04:00:00,1,0,1,1,1,0,0
2021-01-17 09:00:00,0,0,0,1,0,0,0
2021-01-17 12:00:00,0,1,0,1,0,0,0
2021-01-17 13:00:00,0,0,0,1,0,0,0
2021-01-17 14:00:00,1,4,1,3,1,0,0
2021-01-17 15:00:00,1,18,3,4,1,0,0
2021-01-17 18:00:00,0,0,0,2,0,0,0
2021-01-17 19:00:00,2,10,0,4,0,0,0
2021-01-17 20:00:00,0,4,2,3,1,0,0
2021-01-17 22:00:00,0,1,2,1,0,0,0
2021-01-18 00:00:00,1,1,0,2,1,0,0
2021-01-18 03:00:00,2,25,3,4,1,0,0
2021-01-18 05:00:00,0,0,0,1,1,0,0
2021-01-18 08:00:00,0,0,6,2,1,0,0
2021-01-18 09:00:00,1,0,5,5,3,0,0
2021-01-18 11:00:00,0,1,0,1,0,0,0
2021-01-18 14:00:00,0,2,0,3,2,0,0
2021-01-18 15:00:00,1,2,0,4,0,0,0
2021-01-18 16:00:00,1,3,0,2,2,0,0
2021-01-18 17:00:00,5,59,7,2,0,0,0
2021-01-18 18:00:00,2,1,4,4,0,0,0
2021-01-18 19:00:00,9,57,3,3,0,0,0
2021-01-18 22:00:00,2,6,0,3,0,0,0
2021-01-19 05:00:00,3,3,1,1,0,0,0
2021-01-19 06:00:00,0,0,0,1,0,0,0
2021-01-19 07:00:00,0,3,3,2,2,0,0
2021-01-19 10:00:00,0,14,2,7,1,0,0
2021-01-19 11:00:00,0,10,2,4,1,0,0
2021-01-19 12:00:00,0,2,0,3,1,0,0
2021-01-19 13:00:00,0,2,1,4,1,0,0
2021-01-19 14:00:00,1240,2118,1889,16,2,0,0
2021-01-19 15:00:00,2,8,1,17,3,0,0
2021-01-19 16:00:00,44,416,20,8,0,0,0
2021-01-19 17:00:00,6,64,9,12,2,0,0
2021-01-19 18:00:00,10,57,10,8,0,0,0
2021-01-19 19:00:00,2,30,3,8,1,0,0
2021-01-19 20:00:00,0,8,0,3,1,0,0
2021-01-19 21:00:00,11,40,8,8,1,0,0
2021-01-19 22:00:00,1,4,0,6,0,0,0
2021-01-19 23:00:00,3,5,1,7,2,0,0
2021-01-20 00:00:00,1,6,1,4,0,0,0
2021-01-20 01:00:00,0,2,0,2,0,0,0
2021-01-20 02:00:00,1,28,6,2,1,0,0
2021-01-20 03:00:00,7,57,2,3,1,0,0
2021-01-20 04:00:00,0,0,0,5,0,0,0
2021-01-20 05:00:00,0,1,0,3,0,0,0
2021-01-20 07:00:00,0,0,0,1,0,0,0
2021-01-20 08:00:00,0,2,0,1,0,0,0
2021-01-20 09:00:00,0,0,0,2,0,0,0
2021-01-20 11:00:00,2,54,8,5,1,0,0
2021-01-20 12:00:00,2,3,1,2,1,0,0
2021-01-20 13:00:00,0,5,1,4,2,0,0
2021-01-20 14:00:00,5,28,2,6,1,0,0
2021-01-20 15:00:00,2,16,5,9,3,0,0
2021-01-20 16:00:00,16,91,7,9,2,0,0
2021-01-20 17:00:00,1,24,2,5,2,0,0
2021-01-20 18:00:00,1,14,6,4,0,0,0
2021-01-20 19:00:00,1,11,0,6,1,0,0
2021-01-20 20:00:00,0,2,0,3,1,0,0
2021-01-20 21:00:00,0,3,1,2,0,0,0
2021-01-20 22:00:00,1,7,2,3,0,0,0
2021-01-20 23:00:00,0,3,0,1,0,0,0
2021-01-21 00:00:00,0,1,0,1,0,0,0
2021-01-21 02:00:00,0,1,0,1,0,0,0
2021-01-21 03:00:00,0,0,0,1,1,0,0
2021-01-21 04:00:00,2,28,3,4,1,1,0
2021-01-21 05:00:00,0,1,0,1,0,0,0
2021-01-21 06:00:00,9,72,0,3,1,0,0
2021-01-21 07:00:00,5,13,1,5,3,0,0
2021-01-21 09:00:00,5,17,2,2,0,0,0
2021-01-21 10:00:00,3,23,0,7,0,0,0
2021-01-21 11:00:00,0,4,0,2,1,0,0
2021-01-21 12:00:00,0,0,2,1,0,0,0
2021-01-21 13:00:00,1,9,1,3,0,0,0
2021-01-21 14:00:00,0,2,0,1,0,0,0
2021-01-21 15:00:00,1,23,1,4,0,0,0
2021-01-21 16:00:00,1,24,2,9,0,0,0
2021-01-21 17:00:00,3,17,3,9,2,0,0
2021-01-21 18:00:00,34,229,30,19,2,0,0
2021-01-21 19:00:00,25,177,51,15,6,0,0
2021-01-21 20:00:00,13,28,11,21,1,0,0
2021-01-21 21:00:00,13,99,27,7,0,0,0
2021-01-21 22:00:00,1,17,2,2,1,0,0
2021-01-21 23:00:00,0,5,2,5,2,0,0
2021-01-22 00:00:00,5,68,12,8,3,0,0
2021-01-22 01:00:00,2,17,1,6,2,0,0
2021-01-22 02:00:00,0,13,5,4,0,0,0
2021-01-22 03:00:00,52,708,26,4,1,0,0
2021-01-22 04:00:00,0,0,0,1,0,0,0
2021-01-22 05:00:00,0,13,0,3,1,0,0
2021-01-22 06:00:00,0,4,0,4,1,0,0
2021-01-22 07:00:00,0,0,0,1,0,0,0
2021-01-22 08:00:00,0,3,4,5,2,0,0
2021-01-22 09:00:00,0,6,0,2,2,0,0
2021-01-22 10:00:00,0,0,1,1,1,0,0
2021-01-22 11:00:00,8,40,10,5,1,0,0
2021-01-22 12:00:00,0,5,3,3,0,0,0
2021-01-22 13:00:00,0,22,2,7,1,0,0
2021-01-22 14:00:00,8,18,3,12,4,0,0
2021-01-22 15:00:00,10,134,23,20,6,0,0
2021-01-22 16:00:00,114,1190,56,49,5,0,0
2021-01-22 17:00:00,327,1804,265,158,36,1,0
2021-01-22 18:00:00,203,1265,169,123,29,1,0
2021-01-22 19:00:00,71,717,82,66,5,1,0
2021-01-22 20:00:00,433,1732,35,50,11,0,0
2021-01-22 21:00:00,108,434,57,52,8,0,0
2021-01-22 22:00:00,29,320,50,29,8,0,0
2021-01-22 23:00:00,137,565,35,32,9,1,0
2021-01-23 00:00:00,11,63,15,16,3,1,0
2021-01-23 01:00:00,11,96,12,17,5,0,0
2021-01-23 02:00:00,9,41,10,12,1,0,0
2021-01-23 03:00:00,2,27,1,8,2,0,0
2021-01-23 04:00:00,1,16,5,6,3,0,0
2021-01-23 05:00:00,10,74,5,5,0,0,0
2021-01-23 06:00:00,2,62,16,5,2,0,0
2021-01-23 07:00:00,5,49,10,8,5,0,0
2021-01-23 08:00:00,1,2,0,2,0,0,0
2021-01-23 09:00:00,1,9,3,2,0,0,0
2021-01-23 10:00:00,0,4,0,4,0,0,0
2021-01-23 11:00:00,1,40,6,7,2,0,0
2021-01-23 12:00:00,2,11,8,4,1,0,0
2021-01-23 13:00:00,27,64,12,15,2,0,0
2021-01-23 14:00:00,3,7,5,7,3,0,0
2021-01-23 15:00:00,9,216,25,11,5,0,0
2021-01-23 16:00:00,7,60,11,7,2,0,0
2021-01-23 17:00:00,4,33,16,7,2,0,0
2021-01-23 18:00:00,43,129,13,6,3,1,0
2021-01-23 19:00:00,5,21,6,10,2,0,0
2021-01-23 20:00:00,7,66,3,9,1,0,0
2021-01-23 21:00:00,0,8,3,6,1,0,0
2021-01-23 22:00:00,11,41,10,6,1,0,0
2021-01-23 23:00:00,1,7,2,8,0,0,0
2021-01-24 00:00:00,0,6,3,6,0,0,0
2021-01-24 01:00:00,7,114,5,5,1,0,0
2021-01-24 02:00:00,1,21,7,8,1,0,0
2021-01-24 03:00:00,1,9,1,4,0,0,0
2021-01-24 04:00:00,2,17,4,5,2,0,0
2021-01-24 05:00:00,0,2,1,2,0,0,0
2021-01-24 06:00:00,29,225,21,3,0,0,0
2021-01-24 07:00:00,0,5,1,1,0,0,0
2021-01-24 08:00:00,0,4,1,1,0,0,0
2021-01-24 10:00:00,0,1,1,3,2,0,0
2021-01-24 11:00:00,0,0,0,2,0,0,0
2021-01-24 12:00:00,0,17,3,4,1,0,0
2021-01-24 13:00:00,1,8,1,1,1,0,0
2021-01-24 14:00:00,8,13,6,7,2,0,0
2021-01-24 15:00:00,4,34,5,6,1,0,0
2021-01-24 16:00:00,8,24,5,11,2,0,0
2021-01-24 17:00:00,5,46,56,13,2,0,0
2021-01-24 18:00:00,6,108,11,9,1,0,0
2021-01-24 19:00:00,6,14,4,8,0,0,0
2021-01-24 20:00:00,1,14,15,9,1,0,0
2021-01-24 21:00:00,48,439,22,4,0,1,0
2021-01-24 22:00:00,2,33,9,7,4,0,0
2021-01-24 23:00:00,2,62,1,3,0,0,0
2021-01-25 00:00:00,4,29,5,3,0,0,0
2021-01-25 01:00:00,4,35,7,5,0,0,0
2021-01-25 02:00:00,52,222,9,2,1,0,0
2021-01-25 03:00:00,0,0,1,3,0,0,0
2021-01-25 04:00:00,44,236,19,5,2,0,0
2021-01-25 05:00:00,0,1,0,1,1,0,0
2021-01-25 06:00:00,2,8,4,3,1,0,0
2021-01-25 07:00:00,20,71,16,11,4,0,0
2021-01-25 08:00:00,0,13,1,5,1,0,0
2021-01-25 09:00:00,16,184,35,39,12,0,0
2021-01-25 10:00:00,187,804,91,54,12,0,0
2021-01-25 11:00:00,37,174,43,37,5,0,0
2021-01-25 12:00:00,56,431,62,62,11,1,0
2021-01-25 13:00:00,147,908,81,80,12,0,0
2021-01-25 14:00:00,888,3095,236,106,25,1,0
2021-01-25 15:00:00,594,2845,296,223,47,1,0
2021-01-25 16:00:00,948,3892,239,156,29,0,0
2021-01-25 17:00:00,354,3163,289,189,55,1,0
2021-01-25 18:00:00,249,1477,192,118,29,0,0
2021-01-25 19:00:00,20,112,12,67,13,3,0
2021-01-25 20:00:00,1325,5561,402,86,14,1,0
2021-01-25 21:00:00,100,678,84,62,17,1,0
2021-01-25 22:00:00,76,499,100,47,14,2,0
2021-01-25 23:00:00,34,226,33,59,11,0,0
2021-01-26 00:00:00,20,424,34,37,8,1,0
2021-01-26 01:00:00,15,79,18,36,6,2,0
2021-01-26 02:00:00,14,123,21,39,11,0,0
2021-01-26 03:00:00,67,371,46,32,7,0,0
2021-01-26 04:00:00,15,134,43,19,6,0,0
2021-01-26 05:00:00,12,78,8,15,4,0,0
2021-01-26 06:00:00,4,26,7,13,2,0,0
2021-01-26 07:00:00,4,14,2,8,2,0,0
2021-01-26 08:00:00,1,19,8,16,1,0,0
2021-01-26 09:00:00,6,21,6,17,5,0,0
2021-01-26 10:00:00,44,160,14,20,5,0,0
2021-01-26 11:00:00,28,125,22,23,4,0,0
2021-01-26 12:00:00,82,246,28,36,6,0,0
2021-01-26 13:00:00,155,1782,104,48,7,0,0
2021-01-26 14:00:00,69,265,52,86,13,1,0
2021-01-26 15:00:00,553,2447,348,96,18,0,0
2021-01-26 16:00:00,301,2149,155,70,15,1,0
2021-01-26 17:00:00,572,5374,1098,94,13,2,0
2021-01-26 18:00:00,826,5244,321,127,28,1,0
2021-01-26 19:00:00,589,4868,462,141,18,3,0
2021-01-26 20:00:00,391,2110,163,209,36,0,0
2021-01-26 21:00:00,457,3710,528,389,72,5,0
2021-01-26 22:00:00,2762,23389,1323,332,62,1,0
2021-01-26 23:00:00,6154,19133,924,215,41,1,0
2021-01-27 00:00:00,328,2252,304,180,40,1,0
2021-01-27 01:00:00,8641,30303,1211,138,25,3,0
2021-01-27 02:00:00,117,740,127,129,27,0,0
2021-01-27 03:00:00,331,2438,188,120,21,1,0
2021-01-27 04:00:00,222,1690,138,104,20,0,0
2021-01-27 05:00:00,78,450,66,74,11,0,0
2021-01-27 06:00:00,112,741,122,66,11,0,0
2021-01-27 07:00:00,503,1603,138,71,16,0,0
2021-01-27 08:00:00,73,261,30,74,20,1,0
2021-01-27 09:00:00,520,2827,185,84,24,1,0
2021-01-27 10:00:00,428,1891,190,154,37,3,0
2021-01-27 11:00:00,5484,13085,2396,246,47,1,0
2021-01-27 12:00:00,991,3314,591,226,36,2,0
2021-01-27 13:00:00,450,2409,529,231,35,0,0
2021-01-27 14:00:00,14314,24730,5216,494,176,3,0
2021-01-27 15:00:00,1503,6134,366,628,232,5,0
2021-01-27 16:00:00,1261,4998,477,501,134,5,0
2021-01-27 17:00:00,1853,6213,1044,530,116,4,0
2021-01-27 18:00:00,2276,8631,752,499,114,5,0
2021-01-27 19:00:00,3016,10222,541,445,72,8,0
2021-01-27 20:00:00,941,4786,373,393,110,2,0
